Aadhar_No,Candidate_Name,Category,Dose_No,Age
901227386134,Kasyap Sharma,Covishield,First,18
913846583124,Sudheer Verma,Covaxin,Second,23
920165233017,Ashutosh kumar,Moderna,Second,54
901456238901,Ram Naidu,Covishield,First,41
801245679037,Gohill khanna,Sputnik,First,32
812045010029,Varun Roy,Covaxin,Second,25
349023087712,Anushka Singh,Pfizer,Second,21
460812467809,Ritu Panda,Covaxin,First,58
963412560337,Allu Rajesh,Covaxin,Second,62
651254780912,Shirish Chandra,Covishield,Second,27
784536712389,Rammohan Naidu,Covishield,First,69
612389014456,Rohit Pandey,Sputnik,Second,56
457078913016,Amish Mishra,Covaxin,First,36
612055812309,Venu Tripathi,Covaxin,Second,43
110023796312,Suresh Chowdhury,Covishield,Second,71
710243986641,Chandrashekhar Rai,Covishield,Second,65
720954103876,Nithin Chakraborty,Sputnik,First,19
210439065601,Riya Patel,Pfizer,Second,26
301260483961,Shiksha Billana,Covaxin,Second,33
456109872365,Chitra mukharjee,Covishield,First,44
114578090761,Gayatri Ponnappa,Moderna,Second,55
630287001077,Mohammad Nadeem,Pfizer,First,66
660133345670,Rishi Kapoor,Covishield,First,73
900234027120,Satwik Rankireddy,Covaxin,Second,42
510323092109,Lakshya Sen,Covaxin,First,20
221045093128,Amit Patil,Covishield,First,39
461371090032,Dinesh dadisetty,Moderna,First,29
320964301967,Rahul Chauhan,Covaxin,Second,19
446109621300,Krishna Kumar Yadav,Covishield,Second,34
777301266458,Vishal Singh,Sputnik,First,37
340912762221,Rishikesh Chowdhury,Sputnik,Second,18
880165002609,Farah Khan,Pfizer,Second,75
552368211100,Reena Chatterjee,Covaxin,Second,61
100530092056,Sunitha Velaga,Covishield,First,25
205383102282,Tarun Teja Sisti,Pfizer,Second,47
828210017369,Harsha Dasari,Covaxin,Second,50
181745100791,Palanati Aanand,Sputnik,Second,38
934722178022,Supraja Lanka,Moderna,First,30
868878614752,Chandra Bose,Covishield,Second,24
536180273364,Kavitha katakam,Covaxin,First,40
654965432001,Arnepalli Himaja,Moderna,Second,47
200309017088,Venkata chandran,Covaxin,First,50
420630099003,Abdul Karim,Covishield,Second,29
610529990010,Alia Singh,Pfizer,First,49
245091238616,Rana Pratap,Covaxin,Second,63
123456789520,Himanshu Bhardwaj,Covishield,First,35
420697281100,Polineti Shirish Kumar,Covaxin,Second,53
100015020047,Manasa Bheemili,Sputnik,Second,46
380260214110,Preetam bhajrang,Covaxin,First,22
